WorkDate,Member,Project,WorkType,Hours,HourlyRate
2026-01-06,Aoki,PJ-Alpha,Dev,7.5,4500
2026-01-06,Suzuki,PJ-Alpha,Meeting,1.0,4500
2026-01-07,Aoki,PJ-Alpha,Dev,6.0,4500
2026-01-07,Tanaka,PJ-Beta,Dev,7.0,4800
2026-01-08,Suzuki,PJ-Beta,Test,5.5,4500
2026-01-08,Yamada,PJ-Gamma,Dev,8.0,5000
2026-01-09,Tanaka,PJ-Beta,Meeting,1.5,4800
2026-01-10,Yamada,PJ-Gamma,Review,2.0,5000
2026-01-14,Aoki,PJ-Alpha,Test,4.0,4500
2026-01-15,Suzuki,PJ-Alpha,Dev,7.0,4500
2026-01-16,Tanaka,PJ-Beta,Dev,6.5,4800
2026-01-20,Yamada,PJ-Gamma,Dev,7.5,5000
2026-01-22,Aoki,PJ-Alpha,Meeting,1.0,4500
2026-01-24,Suzuki,PJ-Beta,Dev,6.0,4500
2026-01-27,Tanaka,PJ-Beta,Test,5.0,4800
2026-01-28,Yamada,PJ-Gamma,Meeting,1.0,5000
2026-02-03,Aoki,PJ-Alpha,Dev,7.0,4500
2026-02-04,Suzuki,PJ-Alpha,Test,4.5,4500
2026-02-05,Tanaka,PJ-Beta,Dev,7.5,4800
2026-02-06,Yamada,PJ-Gamma,Dev,8.0,5000
